IDx,IDy,Posix,Posiy,accuracy
14,16,-0.3259999999999999,-0.3279999999999999,
14,17,-0.3279999999999999,-0.272,
14,18,-0.3279999999999999,-0.2299999999999999,
14,19,-0.3279999999999999,-0.17,
14,20,-0.3279999999999999,-0.1079999999999999,
14,21,-0.3299999999999999,-0.062,
14,22,-0.3299999999999999,0.002,
14,23,-0.3299999999999999,0.066,
14,24,-0.3299999999999999,0.1060000000000001,
14,25,-0.3319999999999999,0.1639999999999999,
14,26,-0.3339999999999999,0.2199999999999999,
14,27,-0.3319999999999999,0.266,
14,28,-0.3299999999999999,0.33,
14,29,-0.3319999999999999,0.3799999999999999,
14,30,-0.3339999999999999,0.4239999999999999,
14,31,-0.3339999999999999,0.482,
14,32,-0.3379999999999999,0.532,
14,33,-0.3339999999999999,0.5680000000000001,
14,34,-0.3359999999999999,0.6160000000000001,
14,35,-0.3359999999999999,0.6599999999999999,
14,36,-0.3379999999999999,0.692,
14,37,-0.3399999999999999,0.73,
14,38,-0.344,0.764,
14,39,-0.344,0.79,
14,40,-0.346,0.8240000000000001,
14,41,-0.35,0.8500000000000001,
14,42,-0.352,0.8720000000000001,
14,43,-0.35031960890662406,0.8951593140961129,
14,44,-0.35031960890662406,0.9069358377292115,
15,0,-0.306820840310436,-0.9050791585147206,
15,1,-0.30574159016616276,-0.8939269070238977,
15,2,-0.304,-0.874,
15,3,-0.302,-0.848,
15,4,-0.3,-0.8240000000000001,
15,5,-0.3,-0.792,
15,6,-0.298,-0.766,
15,7,-0.298,-0.738,
15,8,-0.296,-0.694,
15,9,-0.294,-0.6579999999999999,
15,10,-0.294,-0.624,
15,11,-0.292,-0.5760000000000001,
15,12,-0.292,-0.528,
15,13,-0.294,-0.484,
15,14,-0.294,-0.426,
15,15,-0.292,-0.384,
15,16,-0.29,-0.3279999999999999,
15,17,-0.292,-0.272,
